CUL	LONGITUDE	LATITUDE	NAME	Unnamed: 4
010743	26.080300	44.445400	Bucuresti	
010744	26.080300	44.445400	Bucuresti	
010745	26.080300	44.445400	Bucuresti	
010746	26.073940	44.459780	Bucuresti	
010747	26.073940	44.459780	Bucuresti	
010748	26.073940	44.459780	Bucuresti	
010751	26.060710	44.464610	Bucuresti	
010752	26.060710	44.464610	Bucuresti	
010753	26.060710	44.464610	Bucuresti	
010754	26.060710	44.464610	Bucuresti	
010755	26.060710	44.464610	Bucuresti	
010756	26.060710	44.464610	Bucuresti	
010757	26.060710	44.464610	Bucuresti	
010758	26.060710	44.464610	Bucuresti	
010759	26.060710	44.464610	Bucuresti	
010761	26.060710	44.464610	Bucuresti	
010762	26.060710	44.464610	Bucuresti	
010763	26.060710	44.464610	Bucuresti	
010764	26.060710	44.464610	Bucuresti	
010765	26.060710	44.464610	Bucuresti	
010766	26.060710	44.464610	Bucuresti	
010767	26.060710	44.464610	Bucuresti	
010771	26.091650	44.443260	Bucuresti	
010772	26.080300	44.445400	Bucuresti	
010773	26.080300	44.445400	Bucuresti	
010774	26.080300	44.445400	Bucuresti	
010775	26.080300	44.445400	Bucuresti	
010776	26.089300	44.442690	Bucuresti	
010777	26.089300	44.442690	Bucuresti	
010778	26.089300	44.442690	Bucuresti	
010779	26.089300	44.442690	Bucuresti	
010781	26.080300	44.445400	Bucuresti	
010782	26.080300	44.445400	Bucuresti	
010783	26.087630	44.441310	Bucuresti	
010784	26.087630	44.441310	Bucuresti	
010785	26.087630	44.441310	Bucuresti	
010786	26.087630	44.441310	Bucuresti	
010787	26.087950	44.440430	Bucuresti	
010791	26.085360	44.441900	Bucuresti	
010792	26.085360	44.441900	Bucuresti	
010793	26.085360	44.441900	Bucuresti	
010794	26.085360	44.441900	Bucuresti	
010795	26.080300	44.445400	Bucuresti	
010796	26.084340	44.442160	Bucuresti	
010797	26.084340	44.442160	Bucuresti	
010798	26.084340	44.442160	Bucuresti	
010799	26.084340	44.442160	Bucuresti	
010801	26.084180	44.443140	Bucuresti	
010802	26.084180	44.443140	Bucuresti	
010803	26.084180	44.443140	Bucuresti	
010804	26.084180	44.443140	Bucuresti	
010805	26.084180	44.443140	Bucuresti	
010806	26.084180	44.443140	Bucuresti	
010807	26.084180	44.443140	Bucuresti	
010808	26.080300	44.445400	Bucuresti	
010811	26.081120	44.442920	Bucuresti	
010812	26.081120	44.442920	Bucuresti	
010813	26.081120	44.442920	Bucuresti	
010814	26.081120	44.442920	Bucuresti	
010815	26.081120	44.442920	Bucuresti	
010816	26.081120	44.442920	Bucuresti	
010817	26.081120	44.442920	Bucuresti	
010818	26.081120	44.442920	Bucuresti	
010819	26.081120	44.442920	Bucuresti	
010821	26.081120	44.442920	Bucuresti	
010822	26.081120	44.442920	Bucuresti	
010823	26.081120	44.442920	Bucuresti	
010824	26.081120	44.442920	Bucuresti	
010825	26.081120	44.442920	Bucuresti	
010826	26.081120	44.442920	Bucuresti	
010827	26.082530	44.442570	Bucuresti	
010828	26.082530	44.442570	Bucuresti	
010831	26.079640	44.442040	Bucuresti	
010832	26.079640	44.442040	Bucuresti	
010833	26.082290	44.443520	Bucuresti	
010834	26.082290	44.443520	Bucuresti	
010835	26.083130	44.444980	Bucuresti	
010836	26.083130	44.444980	Bucuresti	
010837	26.083570	44.444420	Bucuresti	
010838	26.080300	44.445400	Bucuresti	
010841	26.080300	44.445400	Bucuresti	
010842	26.080300	44.445400	Bucuresti	
010843	26.079470	44.443500	Bucuresti	
010844	26.079470	44.443500	Bucuresti	
010845	26.079470	44.443500	Bucuresti	
010846	26.080300	44.445400	Bucuresti	
010847	26.098680	44.436410	Bucuresti	
010848	26.098680	44.436410	Bucuresti	
010849	26.080300	44.445400	Bucuresti	
010851	26.079620	44.443820	Bucuresti	
010852	26.079620	44.443820	Bucuresti	
010853	26.079620	44.443820	Bucuresti	
010854	26.079620	44.443820	Bucuresti	
010855	26.069430	44.422900	Bucuresti	
010856	26.069430	44.422900	Bucuresti	
010857	26.069430	44.422900	Bucuresti	
010858	26.086850	44.452030	Bucuresti	
010859	26.086850	44.452030	Bucuresti	
010861	26.075020	44.445100	Bucuresti	
010862	26.075020	44.445100	Bucuresti	
010863	26.075020	44.445100	Bucuresti	
010864	26.075020	44.445100	Bucuresti	
010865	26.075020	44.445100	Bucuresti	
010866	26.075020	44.445100	Bucuresti	
010867	26.075020	44.445100	Bucuresti	
010868	26.075020	44.445100	Bucuresti	
010869	26.075020	44.445100	Bucuresti	
010871	26.075020	44.445100	Bucuresti	
010872	26.075020	44.445100	Bucuresti	
010873	26.075020	44.445100	Bucuresti	
010874	26.075020	44.445100	Bucuresti	
010881	26.078500	44.439980	Bucuresti	
010882	26.078500	44.439980	Bucuresti	
010883	26.078500	44.439980	Bucuresti	
010884	26.078500	44.439980	Bucuresti	
010885	26.080300	44.445400	Bucuresti	
010886	26.079440	44.441350	Bucuresti	
010887	26.079440	44.441350	Bucuresti	
010888	26.079010	44.441100	Bucuresti	
010889	26.079010	44.441100	Bucuresti	
010891	26.080300	44.445400	Bucuresti	
010892	26.080300	44.445400	Bucuresti	
010893	26.078240	44.440160	Bucuresti	
010894	26.078240	44.440160	Bucuresti	
010895	26.077790	44.441030	Bucuresti	
010896	26.077790	44.441030	Bucuresti	
010897	26.077610	44.440410	Bucuresti	
010898	26.077610	44.440410	Bucuresti	
010899	26.080300	44.445400	Bucuresti	
010901	26.073030	44.443940	Bucuresti	
010902	26.073030	44.443940	Bucuresti	
010903	26.073030	44.443940	Bucuresti	
010904	26.073030	44.443940	Bucuresti	
010905	26.080300	44.445400	Bucuresti	
010911	26.072000	44.443820	Bucuresti	
010912	26.072000	44.443820	Bucuresti	
010913	26.080300	44.445400	Bucuresti	
010914	26.080300	44.445400	Bucuresti	
010915	26.071670	44.444500	Bucuresti	
010916	26.071670	44.444500	Bucuresti	
010917	26.072370	44.444690	Bucuresti	
010918	26.072370	44.444690	Bucuresti	
010919	26.072570	44.446220	Bucuresti	
010921	26.071170	44.445020	Bucuresti	
010922	26.071170	44.445020	Bucuresti	
010923	26.071170	44.445020	Bucuresti	
